id,plane,coordinates,xOffset,yOffset,xPixelsPerMM,yPixelsPerMM
1,coronal,6.7,469,32,74,73
2,coronal,6.2,469,32,74,73
3,coronal,5.7,469,32,74,73
4,coronal,5.2,469,32,74,73
5,coronal,4.7,469,32,74,73
6,coronal,4.2,469,32,74,73
7,coronal,3.7,469,32,74,73
8,coronal,3.2,469,32,74,73
9,coronal,2.7,469,32,74,73
10,coronal,2.2,467,59,55,55
11,coronal,1.7,467,59,55,55
12,coronal,1.6,467,59,55,55
13,coronal,1.2,467,59,55,55
14,coronal,1,467,59,55,55
15,coronal,0.7,467,59,55,55
16,coronal,0.48,467,59,55,55
17,coronal,0.2,467,59,55,55
18,coronal,-0.26,467,59,55,55
19,coronal,-0.3,467,59,55,55
20,coronal,-0.4,467,59,55,55
21,coronal,-0.8,467,59,55,55
22,coronal,-0.92,467,59,55,55
23,coronal,-1.3,467,59,55,55
24,coronal,-1.4,467,59,55,55
25,coronal,-1.6,467,59,55,55
26,coronal,-1.8,467,59,55,55
27,coronal,-1.88,467,26,55,61
28,coronal,-2.12,467,59,55,55
29,coronal,-2.3,467,59,55,55
30,coronal,-2.56,467,59,55,55
31,coronal,-2.8,467,59,55,55
32,coronal,-3.14,467,59,55,55
33,coronal,-3.3,467,59,55,55
34,coronal,-3.6,467,59,55,55
35,coronal,-3.8,467,59,55,55
36,coronal,-4.16,467,59,55,55
37,coronal,-4.3,467,59,55,55
38,coronal,-4.52,467,59,55,55
39,coronal,-4.8,467,59,55,55
40,coronal,-5.2,467,59,55,55
41,coronal,-5.3,467,59,55,55
42,coronal,-5.6,467,59,55,55
43,coronal,-5.8,467,59,55,55
44,coronal,-6.04,467,59,55,55
45,coronal,-6.3,467,59,55,55
46,coronal,-6.72,467,59,55,55
47,coronal,-6.8,467,59,55,55
48,coronal,-7.04,467,59,55,55
49,coronal,-7.3,467,59,55,55
50,coronal,-7.64,467,59,55,55
51,coronal,-7.8,467,59,55,55
52,coronal,-8,467,59,55,55
53,coronal,-8.3,467,59,55,55
54,coronal,-8.72,468,5,55,55
55,coronal,-8.8,468,5,55,55
56,coronal,-9.16,468,5,55,55
57,coronal,-9.3,468,5,55,55
58,coronal,-9.68,468,5,55,55
59,coronal,-9.8,468,5,55,55
60,coronal,-10.04,468,5,55,55
61,coronal,-10.3,468,5,55,55
62,coronal,-10.52,468,5,55,55
63,coronal,-10.8,468,5,55,55
64,coronal,-11,468,5,55,55
65,coronal,-11.3,468,5,55,55
66,coronal,-11.6,468,5,55,55
67,coronal,-11.8,468,5,55,55
68,coronal,-11.96,468,5,55,55
69,coronal,-12.3,468,5,55,55
70,coronal,-12.72,468,5,55,55
71,coronal,-12.8,468,5,55,55
72,coronal,-13.24,468,5,55,55
73,coronal,-13.3,468,5,55,55
74,coronal,-13.68,468,5,55,55
75,coronal,-13.8,468,5,55,55
76,coronal,-14.08,468,5,55,55
77,coronal,-14.3,468,5,55,55
78,coronal,-14.6,468,5,55,55
79,sagittal,-0.1,266,137,40,41
80,sagittal,0.4,266,137,40,41
81,sagittal,0.9,266,137,40,41
82,sagittal,1.4,266,137,40,41
83,sagittal,1.9,266,137,40,41
84,sagittal,2.4,266,137,40,41
85,sagittal,2.9,266,137,40,41
86,sagittal,3.4,266,137,40,41
87,sagittal,3.9,266,137,40,41
88,sagittal,4.2,266,137,40,41
89,sagittal,4.6,266,137,40,41
90,horizontal,-9.6,265,362,40,41
91,horizontal,-9.22,265,362,40,41
92,horizontal,-9.1,265,362,40,41
93,horizontal,-8.82,265,362,40,41
94,horizontal,-8.6,265,362,40,41
95,horizontal,-8.42,265,362,40,41
96,horizontal,-8.1,265,362,40,41
97,horizontal,-7.8,265,362,40,41
98,horizontal,-7.6,265,362,40,41
99,horizontal,-7.34,265,362,40,41
100,horizontal,-7.1,265,362,40,41
101,horizontal,-6.82,265,362,40,41
102,horizontal,-6.6,265,362,40,41
103,horizontal,-6.38,265,362,40,41
104,horizontal,-6.1,265,362,40,41
105,horizontal,-5.82,265,362,40,41
106,horizontal,-5.6,265,362,40,41
107,horizontal,-5.32,265,362,40,41
108,horizontal,-5.1,265,362,40,41
109,horizontal,-4.74,265,362,40,41
110,horizontal,-4.6,265,362,40,41
111,horizontal,-4.28,265,362,40,41
112,horizontal,-4.1,265,362,40,41
113,horizontal,-3.86,265,362,40,41
114,horizontal,-3.6,265,362,40,41
115,horizontal,-3.38,265,362,40,41
116,horizontal,-3.1,265,362,40,41
